City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Rikitea,PF,75.49,few clouds,-23.1203,-134.9692,People ThankYou
4,Victoria,HK,83.97,broken clouds,22.2855,114.1577,Mini Hotel Central
5,Hithadhoo,MV,81.59,overcast clouds,-0.6,73.0833,Scoop Guest House
13,Pochutla,MX,76.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
21,Butaritari,KI,83.62,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
24,Daman,IN,79.92,few clouds,20.4167,72.85,Silver Sands Beach Resort
26,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
29,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
30,Conceicao Do Araguaia,BR,75.16,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
33,San Blas,MX,78.51,clear sky,21.5167,-105.2667,Hotel Posada del Rey
34,Mandera,KE,77.79,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
38,Salinopolis,BR,79.99,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
42,Atuona,PF,78.15,clear sky,-9.8,-139.0333,Villa Enata
44,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
49,Ternate,ID,85.46,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
60,Mackay,AU,87.04,few clouds,-21.15,149.2,International Lodge Motel
61,Srandakan,ID,85.91,broken clouds,-7.9386,110.2506,Puri Brata
65,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
67,Hilo,US,76.24,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
68,Carutapera,BR,78.46,clear sky,-1.195,-46.02,Lidera
70,Nauta,PE,76.19,overcast clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
82,Belmonte,BR,75.51,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
94,Samarai,PG,84.0,broken clouds,-10.6167,150.6667,Nuli Sapi
108,Curuca,BR,75.85,scattered clouds,-0.7289,-47.8481,Hotel Curuça
117,Sao Filipe,CV,79.72,clear sky,14.8961,-24.4956,Hotel Xaguate
118,Airai,TL,81.05,overcast clouds,-8.9266,125.4092,Juvinal Martin
119,Ponta Do Sol,PT,75.0,overcast clouds,32.6667,-17.1,Hotel do Campo
123,Mataram,ID,88.61,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
126,Rantepao,ID,82.76,broken clouds,-2.9701,119.8978,Hotel Luta Resort
138,Sola,VU,78.62,overcast clouds,-13.8833,167.55,Leumerus Bungalows
140,Kidal,ML,80.91,few clouds,18.4411,1.4078,
