City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Primo Tapia,MX,32.22,-116.9172,62.22,71,42,6.26,scattered clouds
1,Kang,BW,-23.6752,22.7876,56.08,79,97,13.56,overcast clouds
2,Busselton,AU,-33.65,115.3333,64.04,90,100,26.69,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,75.49,73,14,20.98,few clouds
4,Victoria,HK,22.2855,114.1577,83.97,67,74,3.0,broken clouds
5,Hithadhoo,MV,-0.6,73.0833,81.59,71,93,6.33,overcast clouds
6,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.94,95,100,11.65,overcast clouds
7,Bertoua,CM,4.5833,13.6833,64.96,95,100,2.26,overcast clouds
8,Menongue,AO,-14.6585,17.691,63.03,78,85,4.12,light rain
9,Jamestown,US,42.097,-79.2353,49.71,73,2,5.99,clear sky
10,Kysyl-Syr,RU,63.8986,122.7617,22.17,85,99,3.62,overcast clouds
11,Cape Town,ZA,-33.9258,18.4232,58.1,61,0,1.99,clear sky
12,Clyde River,CA,70.4692,-68.5914,33.37,69,100,9.69,overcast clouds
13,Pochutla,MX,15.7432,-96.4661,76.82,89,99,3.13,overcast clouds
14,Mashhad,IR,36.297,59.6062,50.14,46,0,4.61,clear sky
15,Tiksi,RU,71.6872,128.8694,19.15,90,100,14.38,overcast clouds
16,Chokurdakh,RU,70.6333,147.9167,-8.01,99,74,5.37,broken clouds
17,Nikolskoye,RU,59.7035,30.7861,37.87,90,100,7.31,moderate rain
18,Gazanjyk,TM,39.2446,55.5154,59.38,64,1,7.76,clear sky
19,Naze,JP,28.3667,129.4833,70.72,87,100,14.81,overcast clouds
20,Mount Gambier,AU,-37.8333,140.7667,60.66,49,25,10.07,scattered clouds
21,Butaritari,KI,3.0707,172.7902,83.62,60,97,7.81,overcast clouds
22,Ushuaia,AR,-54.8,-68.3,36.27,92,28,4.23,scattered clouds
23,Port Lincoln,AU,-34.7333,135.8667,63.59,62,4,15.61,clear sky
24,Daman,IN,20.4167,72.85,79.92,70,21,3.44,few clouds
25,Mahebourg,MU,-20.4081,57.7,73.26,73,81,14.99,broken clouds
26,Avarua,CK,-21.2078,-159.775,77.05,61,40,5.75,scattered clouds
27,Thompson,CA,55.7435,-97.8558,35.76,87,90,12.66,overcast clouds
28,Tasiilaq,GL,65.6145,-37.6368,28.56,53,6,4.36,clear sky
29,Kapaa,US,22.0752,-159.319,82.38,76,21,3.0,light rain
30,Conceicao Do Araguaia,BR,-8.2578,-49.2647,75.16,90,100,4.09,overcast clouds
31,Cidreira,BR,-30.1811,-50.2056,60.22,79,3,6.58,clear sky
32,Souillac,MU,-20.5167,57.5167,73.36,74,39,12.44,scattered clouds
33,San Blas,MX,21.5167,-105.2667,78.51,88,8,3.74,clear sky
34,Mandera,KE,3.9366,41.867,77.79,67,100,8.84,overcast clouds
35,Zhenhai,CN,24.2582,118.0905,73.74,68,17,10.65,few clouds
36,Yellowknife,CA,62.456,-114.3525,26.56,100,6,4.43,clear sky
37,Saint George,US,37.1041,-113.5841,52.63,53,18,1.01,few clouds
38,Salinopolis,BR,-0.6136,-47.3561,79.99,79,36,7.81,scattered clouds
39,Opuwo,NA,-18.0607,13.84,66.47,19,44,3.87,scattered clouds
40,Berck,FR,50.4,1.6,63.52,100,90,10.36,mist
41,Mataura,NZ,-46.1927,168.8643,52.27,41,80,12.41,broken clouds
42,Atuona,PF,-9.8,-139.0333,78.15,75,10,19.53,clear sky
43,Vaini,TO,-21.2,-175.2,73.9,67,16,19.13,few clouds
44,Tiarei,PF,-17.5333,-149.3333,82.42,78,35,16.58,light rain
45,Bredasdorp,ZA,-34.5322,20.0403,49.28,85,0,4.03,clear sky
46,Bambous Virieux,MU,-20.3428,57.7575,73.22,73,92,14.76,overcast clouds
47,Bethel,US,41.3712,-73.414,49.05,86,20,1.01,few clouds
48,Hobart,AU,-42.8794,147.3294,57.02,49,75,1.01,broken clouds
49,Ternate,ID,0.8,127.4,85.46,68,83,5.41,broken clouds
50,Kunming,CN,25.0389,102.7183,64.33,77,20,17.9,few clouds
51,Port Shepstone,ZA,-30.7414,30.455,55.8,71,0,4.74,clear sky
52,Chuy,UY,-33.6971,-53.4616,52.97,85,0,5.1,clear sky
53,Kaitangata,NZ,-46.2817,169.8464,50.94,41,98,14.27,overcast clouds
54,Praia Da Vitoria,PT,38.7333,-27.0667,65.75,89,9,11.12,clear sky
55,Kruisfontein,ZA,-34.0033,24.7314,43.88,77,0,4.83,clear sky
56,Maridi,SS,4.9158,29.4742,66.94,91,99,3.62,overcast clouds
57,Huarmey,PE,-10.0681,-78.1522,63.88,85,100,8.19,overcast clouds
58,Punta Arenas,CL,-53.15,-70.9167,44.71,70,0,12.66,clear sky
59,San Jeronimo,PE,-11.9472,-75.2829,53.67,68,63,1.77,broken clouds
60,Mackay,AU,-21.15,149.2,87.04,72,16,17.52,few clouds
61,Srandakan,ID,-7.9386,110.2506,85.91,65,63,5.86,broken clouds
62,Castro,BR,-24.7911,-50.0119,54.91,98,100,7.43,overcast clouds
63,Saint-Philippe,RE,-21.3585,55.7679,72.21,77,43,11.97,scattered clouds
64,Nampula,MZ,-15.1165,39.2666,67.1,88,75,3.51,broken clouds
65,Padang,ID,-0.9492,100.3543,84.25,77,100,3.42,overcast clouds
66,Dikson,RU,73.5069,80.5464,26.94,93,100,24.99,light snow
67,Hilo,US,19.7297,-155.09,76.24,94,94,1.99,overcast clouds
68,Carutapera,BR,-1.195,-46.02,78.46,84,10,5.82,clear sky
69,Vasteras,SE,59.6162,16.5528,32.86,91,100,2.3,overcast clouds
70,Nauta,PE,-4.5061,-73.5757,76.19,81,95,1.41,overcast clouds
71,Lavrentiya,RU,65.5833,-171.0,29.79,87,100,18.77,light snow
72,Emerald,AU,-23.5333,148.1667,94.33,17,0,10.25,clear sky
73,Ostrovnoy,RU,68.0531,39.5131,38.35,68,100,26.82,overcast clouds
74,Sioux Lookout,CA,50.1001,-91.917,54.28,65,67,9.37,broken clouds
75,Corinto,GR,37.9407,22.9573,64.76,85,12,3.58,few clouds
76,Bluff,NZ,-46.6,168.3333,47.53,60,80,24.05,broken clouds
77,Luderitz,NA,-26.6481,15.1594,70.84,24,5,13.8,clear sky
78,Husavik,IS,66.0449,-17.3389,42.71,99,100,17.9,light rain
79,Maniitsoq,GL,65.4167,-52.9,32.23,42,0,8.34,clear sky
80,Saskylakh,RU,71.9167,114.0833,23.07,96,100,1.16,light snow
81,Puerto Ayora,EC,-0.7393,-90.3518,70.0,85,67,7.05,broken clouds
82,Belmonte,BR,-15.8631,-38.8828,75.51,87,95,7.96,overcast clouds
83,Snezhnogorsk,RU,69.1933,33.2531,29.98,67,100,21.92,light snow
84,Changping,CN,40.2186,116.2197,51.96,21,0,7.0,clear sky
85,Khatanga,RU,71.9667,102.5,31.75,95,100,9.82,overcast clouds
